iter	Logloss
0	0.6535435956
1	0.6143399001
2	0.5822388696
3	0.5561916258
4	0.5338290245
5	0.5157786786
6	0.4941397799
7	0.4759315666
8	0.4575681096
9	0.4400521104
10	0.4292624899
11	0.4164571854
12	0.4014705232
13	0.3854846255
14	0.3788780497
15	0.3666275204
16	0.3602872266
17	0.3530099573
18	0.3433345542
19	0.3378246988
20	0.3364743612
21	0.3306041014
22	0.32606152
23	0.3190353571
24	0.3145400033
25	0.3088648173
26	0.3003873139
27	0.295682265
28	0.2931271394
29	0.2896425304
30	0.2848667806
31	0.2814691625
32	0.2772098753
33	0.2742066505
34	0.2702997434
35	0.2674759306
36	0.2608489012
37	0.2574674379
38	0.2524665151
39	0.2500463008
40	0.243496933
41	0.2410509354
42	0.2367987197
43	0.2357812933
44	0.2346782155
45	0.2319560687
46	0.2294576469
47	0.2263599809
48	0.2257051588
49	0.2237684385
50	0.2203714474
51	0.2176334112
52	0.2157883522
53	0.2143847253
54	0.2127891839
55	0.211309863
56	0.20994419
57	0.2068022944
58	0.202719298
59	0.2008412455
60	0.198393357
61	0.1953400089
62	0.193884088
63	0.1911016043
64	0.1899218148
65	0.1896754581
66	0.1883546998
67	0.1856075679
68	0.1830742811
69	0.1797907573
70	0.1787221388
71	0.1774352821
72	0.1758931629
73	0.174213627
74	0.1736389806
75	0.1726061947
76	0.1711413414
77	0.1695432139
78	0.1675036214
79	0.1655029908
80	0.1636080359
81	0.162251228
82	0.1614634234
83	0.1604346604
84	0.1596321294
85	0.1589503753
86	0.1566757589
87	0.1542338774
88	0.1534077703
89	0.1523808255
90	0.1510162642
91	0.1497041604
92	0.1476355617
93	0.1466400667
94	0.1449866213
95	0.1429988367
96	0.1425757926
97	0.1416790587
98	0.1398450247
99	0.1389193468
100	0.1382998652
101	0.1378309101
102	0.1365609426
103	0.1351722457
104	0.1337622343
105	0.1329558038
106	0.1320454088
107	0.1303615409
108	0.1291429913
109	0.1283225175
110	0.1279075579
111	0.1265770074
112	0.1252030066
113	0.1243149168
114	0.1218700234
115	0.1205339149
116	0.1199002139
117	0.1182055254
118	0.1176572556
119	0.1158878252
120	0.1146345241
121	0.1124490088
122	0.1109326874
123	0.1104189877
124	0.1093305894
125	0.1074199979
126	0.1058227756
127	0.1053463782
128	0.1046445177
129	0.103731796
130	0.1026572588
131	0.1018901604
132	0.1011278824
133	0.1005123562
134	0.09974542152
135	0.09829829176
136	0.09750857013
137	0.09604198078
138	0.09498154324
139	0.09338902032
140	0.09262605158
141	0.09184353908
142	0.09027149371
143	0.08988031147
144	0.08899703354
145	0.08803725556
146	0.08691833022
147	0.08560650594
148	0.0844032172
149	0.08352069456
150	0.08283537672
151	0.08169681431
152	0.08083164643
153	0.0800975594
154	0.07922944448
155	0.07798539873
156	0.07721691304
157	0.07646804349
158	0.07607733416
159	0.0752237273
160	0.07393208801
161	0.07363958969
162	0.07295835495
163	0.07214453394
164	0.07179188785
165	0.07125436619
166	0.07055397862
167	0.07023697449
168	0.0692696606
169	0.06900881496
170	0.0681352045
171	0.06749419555
172	0.06679691656
173	0.06641477781
174	0.06579055047
175	0.06523980808
176	0.06462230561
177	0.06389088498
178	0.06308172747
179	0.06267399634
180	0.06221160308
181	0.06184024898
182	0.06118904472
183	0.06048625966
184	0.0599982157
185	0.05961580331
186	0.05920825297
187	0.05881113048
188	0.05843189369
189	0.05782731592
190	0.05763139775
191	0.05707505186
192	0.05674971389
193	0.05637628167
194	0.05575212528
195	0.05542994131
196	0.05511383149
197	0.05465312622
198	0.05424599656
199	0.05407633855
200	0.05378963973
201	0.05347794394
202	0.05329981604
203	0.05296830149
204	0.05280062308
205	0.05253692703
206	0.05226305715
207	0.05199457769
208	0.05169915173
209	0.05107282909
210	0.05055650386
211	0.05009049941
212	0.04993383968
213	0.04978164638
214	0.04926362569
215	0.04861777116
216	0.04836192416
217	0.04801755306
218	0.04787753337
219	0.04742095324
220	0.04717907307
221	0.04669146379
222	0.04624881345
223	0.0456907862
224	0.04512960203
225	0.04458266307
226	0.04428930066
227	0.04392855451
228	0.04370275676
229	0.04329586789
230	0.04293368212
231	0.04285107765
232	0.04264086946
233	0.04245938098
234	0.04207754447
235	0.04179896257
236	0.04146232593
237	0.04137589845
238	0.041169952
239	0.04082880304
240	0.04074659863
